id,name,caption,cleaned_caption
ROCO_00001,PMC4608653_cro-0008-0385-g01.jpg," Axial MRI (coronal view).
",axial mri coron view
ROCO_00006,PMC4840839_ol-11-05-3298-g02.jpg," Coronal plain computed tomography image showing multiple large tumor masses with edge enhancement inside the abdominal cavity and liver.
",coron plain comput tomographi imag show multipl larg tumor mass edg enhanc insid abdomin caviti liver
ROCO_00016,PMC5665693_cureus-0009-00000001639-i01.jpg," Axial source image from an intracranial magnetic resonance angiogram reveals abnormal arterial signal elevation in the left more than right cavernous sinuses consistent with a carotid cavernous fistula, as indicated by the arrow.
",axial sourc imag intracrani magnet reson angiogram reveal abnorm arteri signal elev left right cavern sinus consist carotid cavern fistula indic arrow
ROCO_00025,PMC4813433_EJD-10-188-g001.jpg," The apical height, homogeneity, and the thickness of mineral trioxide aggregate plug
",apic height homogen thick miner trioxid aggreg plug
ROCO_00031,PMC4252315_PWKI-10-23517-g001.jpg," CTO of RCA (closure in the 2nd segment)
",cto rca closur segment
ROCO_00036,PMC5006714_medscimonit-22-2972-g003.jpg," Venography shows a large amount of thrombogenesis in the femoropoplitea vein before thrombolysis.
",venographi show larg amount thrombogenesi femoropoplitea vein thrombolysi
ROCO_00061,PMC3669468_JCVJS-3-16-g005.jpg," Postoperative decreased size of the cyst
",postop decreas size cyst
ROCO_00084,PMC4078144_10-1055-s-0034-1371751-i130044-5.jpg,"  Fetal aortic arch. The solid arrow represents the ascending aorta while the dotted arrow represents the aortic arch distal to the ductus arteriosus. Note the aliasing in the ductal arch reflecting turbulent blood flow as a result of external compression due to mass-effect.
",fetal aortic arch solid arrow repres ascend aorta dot arrow repres aortic arch distal ductu arteriosu note alias ductal arch reflect turbul blood flow result extern compress due masseffect
ROCO_00138,PMC3075170_crg0002-0071-f01.jpg," Abdominal computed tomography scan. Arrow points to the likely cholecystocutaneous fistulous track.
",abdomin comput tomographi scan arrow point like cholecystocutan fistul track
ROCO_00153,PMC3172625_pamj-7-9-g001.jpg," Distension digestive avec niveaux hydro-aériques coliques et vacuité pelvienne
",distens digest avec niveaux hydroaériqu coliqu et vacuité pelvienn
ROCO_00176,PMC1660580_1746-160X-2-40-2.jpg," Panoramic X ray taken four years later showing a unilocular radiolucent area in the left ramus.
",panoram x ray taken four year later show unilocular radioluc area left ramu
ROCO_00185,PMC4723612_gr10.jpg," Anteroposterior radiograph of pelvis at most recent follow up.
",anteroposterior radiograph pelvi recent follow
ROCO_00190,PMC4137682_10.1177_1941738114544674-fig1.jpg," Immediate postinjury magnetic resonance image demonstrating intact spinal cord canal with cerebrospinal fluid signal surrounding the spinal cord at all levels.
",immedi postinjuri magnet reson imag demonstr intact spinal cord canal cerebrospin fluid signal surround spinal cord level
ROCO_00206,PMC3304595_kjhep-16-338-g003.jpg," Arterial phase dynamic CT shows homogenous enhancement of the mass (arrow). In the other level, normal right side adrenal gland was visualized.
",arteri phase dynam ct show homogen enhanc mass arrow level normal right side adren gland visual
ROCO_00218,PMC4274140_mder-8-001Fig4.jpg," Angiogram showing pseudoaneurysm (arrow) formation in proximal left superficial femoral artery.
",angiogram show pseudoaneurysm arrow format proxim left superfici femor arteri
ROCO_00251,PMC2886243_kjp-23-137-g003.jpg," Image from CT fluoroscopic guidance rhizotomy demonstrates the radiofrequency cannular tip in the junction of superior articular process and transverse process.
",imag ct fluoroscop guidanc rhizotomi demonstr radiofrequ cannular tip junction superior articular process transvers process
ROCO_00258,PMC2635909_225_fig1.jpg," Bileteral styloid process elongation in a subject on a panoramic radiography.
",bileter styloid process elong subject panoram radiographi
ROCO_00261,PMC4613582_JoU-2013-0022-g003.jpg," Solid-cystic lesion with thickened hyperechoic wall. In the region of the polycyclic solid structure and in the wall of the lesion, color Doppler (CDUS) shows tortuous arterial vessels
",solidcyst lesion thicken hyperecho wall region polycycl solid structur wall lesion color doppler cdu show tortuou arteri vessel
ROCO_00264,PMC3160360_1749-7922-6-23-1.jpg," Initial chest x-ray showing a left tension pneumothorax with shift of the mediastinum to the right, pleural effusion left, basal dorsolateral rib fractures. There's also air visible under the right diaphragm (arrow).
",initi chest xray show left tension pneumothorax shift mediastinum right pleural effus left basal dorsolater rib fractur there also air visibl right diaphragm arrow
ROCO_00271,PMC5024826_AJUM-12-28-g002.jpg," A large subcutaneous tributary pierces the superficial fascia to join the LSV in the thigh region.
",larg subcutan tributari pierc superfici fascia join lsv thigh region
